,score,id1,id2
3157597,75,470,6860
19089186,75,3359,4172
2985924,75,370,3025
22865432,75,4290,4019
10096115,75,1338,1751
10095894,75,1338,1543
11408896,75,1803,1943
4493023,75,685,3025
12816244,75,2065,2207
4471699,75,529,3025
11073894,75,1531,1814
4472895,75,529,4229
15791659,75,2642,2973
15167404,75,2143,3136
20954788,75,3773,5979
8457366,75,1248,7488
17358153,75,2973,4409
11665391,75,1864,4824
2984108,75,370,1107
13972686,75,1998,4172
10217498,75,1587,3996
24334881,75,4626,7662
11142558,75,1543,3331
28988913,75,6892,7488
12804263,75,2063,1880
8513004,75,1257,4229
24106395,75,4636,5139
13831605,75,1939,3705
3290363,75,497,862
3510615,74,420,3276
2987258,74,370,3920
20840853,74,3754,5468
20840855,74,3754,5470
7560084,74,1107,6860
12497481,74,1756,4824
24332457,74,4626,5143
2990744,74,370,7319
3153110,74,470,1895
4628896,74,672,4170
9465612,74,1430,3331
234911,74,14,4162
9464937,74,1430,2569
2989537,74,370,6892
2984253,74,370,1257
11143440,74,1543,4229
20107528,74,3190,4631
26947714,74,5876,6860
12804111,74,2063,2065
15818481,74,2636,3305
24033319,74,4650,6284
17359022,74,2973,5644
12148381,74,1696,4650
18007238,74,3025,5876
20974777,74,3768,5005
17357821,74,2973,4102
5713363,74,819,1670
11145176,74,1543,5575
3941595,74,555,1533
9537500,74,1422,4890
3512527,74,420,5876
12807444,74,2063,5059
11110761,74,1537,2065
13832263,74,1939,3924
15072473,74,2195,5575
4950862,74,626,921
1942302,74,214,626
3290520,74,497,1009
7556403,74,1107,3025
6791828,74,862,3920
6790133,74,862,2569
187815,74,8,2772
17207338,74,2506,3705
27183358,74,5644,6221
11409559,74,1803,2934
29084092,74,6817,6486
11412798,74,1803,6221
6510150,74,921,1220
28369245,74,6412,6860
11409175,74,1803,2207
7153465,74,894,1357
22113637,74,3661,6845
7734228,74,1061,1257
6790808,74,862,3331
5727306,74,786,2065
20593892,74,3276,5876
28167580,74,6295,6216
15568610,74,2207,2628
3249073,74,482,3157
12466403,74,1751,3204
1404876,74,157,2506
15852707,74,2630,5457
3155878,74,470,5139
13972085,74,1998,3293
13689149,74,1880,2628
15568912,74,2207,2973
18662810,74,2772,6078
26328782,74,4931,4961
6788821,74,862,1254
6794654,74,862,6660
6657598,74,920,5333
23089007,74,4229,7517
15615210,74,2235,6078
11412014,74,1803,5059
1405603,74,157,3278
20953390,73,3773,4507
21561191,73,3823,6734
16191569,73,2569,4229
4475380,73,529,6860
2903541,73,385,1070
8511808,73,1257,3025
8512375,73,1257,3276
2660832,73,298,672
758592,73,127,7358
18243328,73,2789,5014
29069871,73,6860,6792
7319462,73,1070,6148
8515489,73,1257,6860
3513729,73,420,6860
29359611,73,6618,7319
26895325,73,5695,6071
20660794,73,3211,4202
5719119,73,819,7358
26947996,73,5876,6618
6793426,73,862,5575
4491769,73,685,1543
3513714,73,420,6906
3153344,73,470,2195
10798137,73,1486,2056
5727069,73,786,1803
3508377,73,420,1257
15448825,73,2266,5712
28799455,73,6132,6474
2986491,73,370,3276
16191571,73,2569,4227
27486241,73,5780,6312
12348044,73,1670,3024
3252762,73,482,6765
3249422,73,482,3785
16522500,73,2461,3665
25985683,73,5315,5212
12151142,73,1696,7504
18108838,73,3051,5607
3385545,73,483,1793
18241324,73,2789,3458
19088600,73,3359,3154
25590521,73,5139,6892
10954476,73,1461,4383
12303336,73,1665,5716
12816108,73,2065,2357
7355311,73,1078,1906
27941263,73,5481,6282
15449460,73,2266,6221
29023798,73,6901,7090
3510341,73,420,3302
5234944,73,648,3947
16446972,73,2677,5744
186403,73,8,1471
11141211,73,1543,1751
11111602,73,1537,2973
11017536,73,1471,6078
1406372,73,157,3920
15794935,73,2642,6221
10032381,73,1345,7488
18008372,73,3025,6892
24836701,73,4409,4482
3513169,73,420,6236
6877612,73,859,2092
11144784,73,1543,5602
10234323,73,1590,2218
1406593,73,157,4626
3293627,73,497,3920
13549477,73,1923,4555
18005051,73,3025,3303
7401109,73,1128,1108
20692971,73,3204,5911
28576500,73,5979,6148
1405331,73,157,3302
17208221,73,2506,4626
5714553,73,819,2772
118733,73,28,3303
11145846,73,1543,6078
4474178,73,529,5876
15571404,73,2207,5059
20595120,73,3276,6792
11111232,73,1537,2266
22435991,73,4178,4053
18013599,73,3024,6494
468802,73,61,171
8550889,73,1255,3025
23088929,73,4229,6660
11111300,73,1537,2628
23088476,73,4229,6792
29607672,73,7439,7340
11424112,73,1805,5005
7670305,73,1017,3821
6876820,73,859,1257
6882104,73,859,6892
10027972,73,1345,2506
6566293,73,963,2951
26947699,73,5876,6906
11028652,73,1498,5876
20830202,73,3748,3863
10031736,73,1345,6078
3941593,73,555,1531
2984135,73,370,1061
11413829,72,1803,6635
23551527,72,3929,7534
1408223,72,157,6412
2808147,72,405,859
3684261,72,444,3768
1405605,72,157,3276
22458661,72,4172,4162
16235700,72,2720,6792
4497183,72,685,6660
18746814,72,2871,6284
28988826,72,6892,6660
25579035,72,5143,6900
3508232,72,420,1107
26302590,72,4878,4958
18766733,72,2868,6640
3942356,72,555,2266
25571675,72,5133,5268
4432545,72,535,6148
2989887,72,370,6618
29070324,72,6860,6660
25567476,72,5153,6908
12818641,72,2065,4482
7554730,72,1107,1254
16190373,72,2569,3025
4491358,72,685,1255
12002419,72,1845,6765
26121609,72,5201,5239
25567489,72,5153,6860
19477620,72,3331,3705
7449732,72,1121,3041
1404242,72,157,1939
25463241,72,4482,6635
17210279,72,2506,6892
25461582,72,4482,5667
26740100,72,4961,6382
8551527,72,1255,3739
15570281,72,2207,4103
23087954,72,4229,6412
9466494,72,1430,4229
28983540,72,6888,7092
11191783,72,1523,3798
3828569,72,565,3798
12078014,72,1684,5059
4470171,72,529,1451
213308,72,11,5649
28369527,72,6412,6618
5730197,72,786,4482
23095081,72,4227,6284
18661927,72,2772,5780
12549479,72,1705,4650
10098626,72,1338,4644
22448461,72,4175,5042
3626623,72,452,3815
28821316,72,6111,6618
6791690,72,862,4229
27100446,72,5607,7358
12548153,72,1705,2887
4284246,72,526,533
122404,72,28,6618
4476519,72,529,7319
28190507,72,6180,7286
7081495,72,889,3215
2984670,72,370,1543
24334746,72,4626,7488
18662256,72,2772,6312
2983660,72,370,529
18661752,72,2772,5607
4077095,72,583,739
18348187,72,2814,4482
8515515,72,1257,6792
1403399,72,157,1132
2813771,72,405,6792
18744010,72,2871,2863
5727712,72,786,2200
8554570,72,1255,6860
7556970,72,1107,3276
7818422,72,1005,5516
19480629,72,3331,6860
15448028,72,2266,4409
12552092,72,1705,6734
27058530,72,5622,7454
2984259,72,370,1255
8514993,72,1257,6412
119685,72,28,3954
